GPA,SAT,GRADE,ACT,MUST ATTEND INTO,RESIDENTIAL ADDRESS,INCOME,ETHNICITY,RACE,NATIONALITY,AGE,GENDER,RELIGION,ABILITY,DISABILITY,MAJOR,DEADLINE,MUST STUDY IN,TITLE,STATE,LINK
3.0,-,-,-,-,-,-,Korean,-,-,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation-Southern Regional Chapter,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/korean-american-scholarship-foundation-southern-regional-chapter
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Norfolk Southern Foundation Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/norfolk-southern-foundation-scholarship
2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0 GPA,-,-,Pen Air Federal Credit Union Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/pen-air-federal-credit-union-scholarship-program
2.5,-,-,-,-,-,-,-,-,-,-,F,-,-,-,-,-,-,Southern Automotive Womens Forum Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/southern-automotive-womens-forum-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Teacher Education Scholarship Program of the Alabama Space Grant Consortium,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/teacher-education-scholarship-program-of-the-alabama-space-grant-consortium
2.5,-,"third, fourth or fifth-year",-,-,"Pennsylvania, Delaware, or Southern New Jersey",-,-,-,-,-,-,-,-,-,undergraduate degree,-,-,The Luther and Mary Ida Vandross Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/the-luther-and-mary-ida-vandross-scholarship
3.0,-,-,-,University of Alabama,Alabama,-,-,residents of Alabama,Alabama,-,-,-,-,-,-,2022-03-01,-,U of A Tuscaloosa Coca-Cola First-Generation Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/u-of-a-tuscaloosa-coca-cola-first-generation-scholarship
3.8,1420,four-year,32,University of Alabama,-,-,-,-,-,-,-,-,-,-,-,-,University of Alabama,U of A Tuscaloosa National Alumni Association Crimson Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/u-of-a-tuscaloosa-national-alumni-association-crimson-scholarship
2.5,-,-,-,a UNCF member college or university,-,-,-,-,US,-,-,-,-,-,-,-,-,UNCF General Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/uncf-general-scholarship
3.0,-,-,-,University of Alabama,-,-,-,-,-,-,-,-,-,-,-,-,University of Alabama,University of Alabama-Tuscaloosa In-State Merit Scholarships,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/university-of-alabama-tuscaloosa-in-state-merit-scholarships
3.0,-,-,-,University of Alabama,-,-,-,-,-,-,-,-,-,-,-,-,University of Alabama,University of Alabama-Tuscaloosa Out of State Merit Scholarships,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/university-of-alabama-tuscaloosa-out-of-state-merit-scholarships
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of South Alabama/Drama Assistantships/Scholarships,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/university-of-south-alabama-drama-assistantships-scholarships
3.0,-,High school,-,-,-,-,-,-,US,-,-,-,-,-,-,-,-,Alaska Airmen Scholarships,Alaska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alaska/alaska-airmen-scholarships
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,Alaska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alaska/cbc-spouses-performing-arts-scholarship
3.0,-,-,-,-,-,-,Korean heritage,-,Korean Nationals,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation - Western Regional Chapter,Alaska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alaska/korean-american-scholarship-foundation-western-regional-chapter
3.0,-,four-year,-,-,-,-,-,African American or Black,U.S.,-,-,-,-,-,-,-,-,Northwest Farm Credit Services Minority Scholarship,Alaska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alaska/northwest-farm-credit-services-minority-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-05-01,-,Beaty Martinez Foundation Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/beaty-martinez-foundation-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/cbc-spouses-performing-arts-scholarship
3.5,1300,-,29,"Arizona State University, Northern Arizona University, or University of Arizona",-,-,-,-,US resident,-,-,-,-,-,-,-,-,Flinn Scholars,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/flinn-scholars
3.0,-,-,-,-,-,-,Korean heritage,-,Korean Nationals,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation - Western Regional Chapter,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/korean-american-scholarship-foundation-western-regional-chapter
3.0,-,two-year or four-year,-,-,-,-,American Indian,American Indian,-,-,-,-,-,-,-,-,-,Phoenix AISES Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/phoenix-aises-scholarship
2.5,-,-,-,-,Arizona,-,Arizona Resident,-,Arizona Resident,-,-,-,-,-,-,-,-,PinPoint Leak Detection's Innovation Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/pinpoint-leak-detections-innovation-scholarship
2.5,-,-,-,-,Arizona,-,Hispanic,Hispanic,Hispanic,-,-,Hispanic,-,-,-,-,-,TWP Veronica Munoz Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/twp-veronica-munoz-scholarship
2.5,-,-,-,a college or university in Union Pacific's service area,-,-,-,-,-,-,-,-,-,-,-,-,-,Union Pacific William E. Wimmer Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/union-pacific-william-e-wimmer-scholarship
2.5,-,-,-,a college or university in Union Pacific’s service area,-,-,females,females,-,-,F,-,-,-,-,-,-,William E. and Barbara I. Van Trump Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/william-e-and-barbara-i-van-trump-scholarship
2.5,-,-,-,an accredited U.S. institution,-,-,-,-,-,-,-,-,-,-,college freshmen,-,-,Arkadelphia Promise Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/arkadelphia-promise-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Arkansas Chamber Singers Music/Vocal Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/arkansas-chamber-singers-music-vocal-scholarship
2.0,-,high school,-,an ASPSF approved school,-,-,-,-,United States,-,-,-,-,-,-,-,-,Arkansas Single Parent Scholarship Fund,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/arkansas-single-parent-scholarship-fund
2.5,-,high school senior,-,Historically Black College or University,-,-,-,-,-,-,-,-,-,-,"Criminal Justice, Journalism or Nursing or Healthcare",-,-,"BECA, Inc. Edna R. Anthony Memorial Scholarship",Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/beca-inc-edna-r-anthony-memorial-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/cbc-spouses-performing-arts-scholarship
3.0,-,juniors,-,-,-,-,-,juniors,-,-,-,-,-,-,-,-,-,J.C. Cote Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/j-c-cote-scholarship
3.0,-,-,-,-,-,-,Korean,-,Korean ancestry,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation-Southwestern Regional Chapter,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/korean-american-scholarship-foundation-southwestern-regional-chapter
2.0,-,-,-,a school in Arkansas,-,-,-,-,US residents,23,-,-,-,-,-,-,-,Law Enforcement Officers’ (LEO) Dependents Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/law-enforcement-officers-leo-dependents-scholarship
2.5,-,-,-,-,-,-,-,-,-,-,F,-,-,-,-,-,-,Southern Automotive Womens Forum Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/southern-automotive-womens-forum-scholarship
2.5,-,"third, fourth or fifth-year",-,-,"Pennsylvania, Delaware, or Southern New Jersey",-,-,-,-,-,-,-,-,-,undergraduate degree,-,-,The Luther and Mary Ida Vandross Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/the-luther-and-mary-ida-vandross-scholarship
2.5,-,-,-,a UNCF member college or university,-,-,-,-,US,-,-,-,-,-,-,-,-,UNCF General Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/uncf-general-scholarship
2.5,-,-,-,a college or university in Union Pacific's service area,-,-,-,-,-,-,-,-,-,-,-,-,-,Union Pacific William E. Wimmer Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/union-pacific-william-e-wimmer-scholarship
2.5,-,-,-,a college or university in Union Pacific’s service area,-,-,females,females,-,-,F,-,-,-,-,-,-,William E. and Barbara I. Van Trump Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/william-e-and-barbara-i-van-trump-scholarship
3.0,-,-,-,"California State University, Sacramento",Sacramento County,-,-,-,-,25,-,-,-,-,-,-,-,AAUW Sacramento Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/aauw-sacramento-scholarship
3.0,-,juniors or seniors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,American Florists' Exchange Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/american-florists-exchange-scholarship
2.5,-,-,-,-,Ohio or California,-,U.S. citizens,-,U.S.,18,-,-,-,-,-,-,-,AWS Donald F Hastings Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/aws-donald-f-hastings-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Calflowers Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/calflowers-scholarship
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,California Broadcasters Association Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/california-broadcasters-association-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,California Institute of Advanced Management (CIAM) Community Scholarship (MBA),California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/california-institute-of-advanced-management-ciam-community-scholarship-mba
3.0,-,undergraduate,-,Cal Poly,-,-,-,-,-,-,-,-,-,-,-,-,-,California Polytechnic State University Scholarships,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/california-polytechnic-state-university-scholarships
2.5,-,-,-,California State University- Fullerton,-,-,-,-,-,-,-,-,-,-,Undergraduate,-,-,California State University- Fullerton Alumni Association Student Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/california-state-universityfullerton-alumni-association-student-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/cbc-spouses-performing-arts-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Visual Arts Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/cbc-spouses-visual-arts-scholarship
3.2,-,1st year,-,-,"Los Angeles or Orange County, California",-,-,-,-,-,-,-,-,-,-,-,-,Chao Family Foundation Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/chao-family-foundation-scholarship
3.2,-,sophomore,-,-,-,-,-,-,U.S.,-,F,-,-,-,-,-,-,College Women's Club of Pasadena Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/college-womens-club-of-pasadena-scholarship
2.50,-,four-year,-,-,Southern California,-,-,-,Southern California,-,-,-,-,-,-,-,-,"Construction Landscape Irrigation Council, Inc (CLIC) Scholarship",California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/construction-landscape-irrigation-council-inc-clic-scholarship
2.8,-,-,-,California State University Bakersfield,-,-,-,-,-,-,-,-,-,-,-,-,-,CSU Dale M. Schoettler Scholarship for Visually Impaired Students,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/csu-dale-m-schoettler-scholarship-for-visually-impaired-students
3.0,-,-,-,a four-year college in the U.S.,-,-,-,-,-,-,-,-,-,-,-,-,-,Cynthia H. Kuo Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/cynthia-h-kuo-scholarship
3.8,-,-,-,a college or university in California,-,-,-,-,-,-,-,-,-,-,-,-,-,Cyril Smith Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/cyril-smith-scholarship
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,business administration or engineering,-,-,David C. Lizárraga Fellowship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/david-c-liz%C3%A1rraga-fellowship
3.25,-,-,-,California college or university,-,-,United States Citizen,a United States Citizen,United States,-,-,-,-,-,-,-,-,ERC Eco Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/erc-eco-scholarship
3.0,-,undergraduate,-,-,"California, Oregon or Washington state",-,-,minority,-,-,-,Christian,-,-,undergraduate,-,-,Foundation for College Christian Leaders Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/foundation-for-college-christian-leaders-scholarship
3.0,-,graduate and undergraduate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FWSF Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/fwsf-scholarship
3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Honmyo Nguyen Family Trust Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/honmyo-nguyen-family-trust-scholarship
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kathleen McVey Memorial Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/kathleen-mcvey-memorial-scholarship
3.0,-,-,-,-,-,-,Korean heritage,-,Korean Nationals,-,-,-,-,-,-,-,-,Korean American Scholarship Foundation - Western Regional Chapter,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/korean-american-scholarship-foundation-western-regional-chapter
3.0,-,-,-,UC Davis & UC Santa Cruz,-,-,-,-,-,-,-,-,-,-,-,-,-,Lapiz Family Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/lapiz-family-scholarship
2.7,-,-,-,Los Angeles county,-,-,Hispanic,Hispanic descent,Hispanic descent,-,-,Hispanic,-,-,-,-,-,Los Angeles Hispanic PR Association Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/los-angeles-hispanic-pr-association-scholarship
2.50,-,four-year,-,-,California,-,-,-,California,-,-,-,-,-,-,2022-11-30,-,Marina Landscape Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/marina-landscape-scholarship
3.0,-,-,-,-,-,-,-,-,Asian heritage,-,-,-,-,-,-,-,-,Matt Fong Asian Americans in Public Finance Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/matt-fong-asian-americans-in-public-finance-scholarship
3.0,-,-,-,-,-,-,Hispanic,-,-,-,-,-,-,-,-,-,-,META Foundation Scholarships,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/meta-foundation-scholarships
2.5,-,high school or college,-,San Jose State University,-,-,-,-,-,-,-,-,-,-,-,-,-,On Your Own Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/on-your-own-scholarship
2.0,-,-,-,Pathways College,-,-,-,-,-,-,-,-,-,-,-,-,-,Pathways College Scholarship Opportunity,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/pathways-college-scholarship-opportunity
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Patrick and Eileen Smyth Endowed Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/patrick-and-eileen-smyth-endowed-scholarship
3.7,1350,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Powell Scholarship at University of the Pacific,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/powell-scholarship-at-university-of-the-pacific
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Royal Business Bank Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/royal-business-bank-scholarship
3.0,-,"sophomore, junior or senior year",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Samsung@First Scholars,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/samsungfirst-scholars
2.5,-,-,-,San Francisco Conservatory of Music,-,-,-,-,-,-,-,-,-,-,-,-,-,San Francisco Conservatory of Music Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/san-francisco-conservatory-of-music-scholarship
3.0,-,-,-,Southern California University of Health Sciences,-,-,-,-,-,-,-,-,-,-,-,-,Southern California University of Health Sciences,SCU Alumni Referral Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/scu-alumni-referral-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Soroptimist International of Los Angeles Fellowship for Women in Graduate Study,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/soroptimist-international-of-los-angeles-fellowship-for-women-in-graduate-study
2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SVCF Bright Futures Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/svcf-bright-futures-scholarship
2.5,-,high school,-,an accredited college or vocational technical school,California,-,-,-,-,-,-,-,-,-,-,2022-06-15,-,The California New Car Dealers Association (CNCDA) “CAR CAREERS” Scholarship Program,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/the-california-new-car-dealers-association-cncda-%E2%80%9Ccar-careers%E2%80%9D-scholarship-program
3.25,-,sophomore,-,-,-,-,-,-,US,-,-,-,-,-,-,-,-,The Ebell/Flint Scholarship Program,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/the-ebell-flint-scholarship-program
3.5,-,undergraduate,-,-,-,-,Jewish,Jewish,Jewish,-,-,Jewish,-,-,-,-,-,The Elaine and Barry Gilbert College Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/the-elaine-and-barry-gilbert-college-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,F,-,-,-,-,-,-,The Fauneil J. Rinn Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/the-fauneil-j-rinn-scholarship
3.5,-,-,-,-,-,-,Jewish,-,Jewish,-,F,Jewish,-,-,-,-,-,The Gail Karp Orgell Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/the-gail-karp-orgell-scholarship
3.0,-,-,-,college/university in California,California,-,-,-,California,-,-,-,-,-,-,-,-,The Golden 1 Credit Union Scholarship Program,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/the-golden-1-credit-union-scholarship-program
2.5,-,-,-,a college or university in Union Pacific's service area,-,-,-,-,-,-,-,-,-,-,-,-,-,Union Pacific William E. Wimmer Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/union-pacific-william-e-wimmer-scholarship
3.0,-,California college,-,-,-,-,-,-,-,-,-,-,-,-,Civil Engineering or Construction Management,2022-05-07,-,United Contractors Scholarship Awards Program,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/united-contractors-scholarship-awards-program
4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022-03-02,-,University of California-Berkeley Undergraduate Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/university-of-california-berkeley-undergraduate-scholarship
3.20,-,-,-,University of California-Santa Barbara,-,-,-,-,-,-,-,-,-,-,-,-,-,University of California-Santa Barbara Regents Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/university-of-california-santa-barbara-regents-scholarship
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,USC Norman Topping Student Aid Fund,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/usc-norman-topping-student-aid-fund
2.25,-,two- or four-year,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Usrey Family Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/usrey-family-scholarship
2.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Virginia Smith Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/virginia-smith-scholarship
3.0,-,junior or senior level,-,University of California or California State University,California,-,-,-,-,-,-,-,-,-,-,2022-11-16,-,WACA Fall Scholarships,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/waca-fall-scholarships
2.5,-,-,-,a college or university in Union Pacific’s service area,-,-,females,females,-,-,F,-,-,-,-,-,-,William E. and Barbara I. Van Trump Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/william-e-and-barbara-i-van-trump-scholarship
3.0,-,-,-,-,-,-,U.S citizens,-,U.S,-,F,-,-,-,-,-,-,WITOC Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/witoc-scholarship
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,World Trade Week Scholarship,California,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/california/world-trade-week-scholarship
3.0,-,"Junior, Senior, or Graduate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ab Irvine Scholarship Program,Colorado,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/colorado/ab-irvine-scholarship-program
